,Q11_r1,Q11_r2,Q11_r3,Q11_r4,Q11_r5,Q11_r6,Q11_r7,Q11_r8,Q11_r9,Q11_r10,Q11_r11,Q11_r12
Q20_r6,-0.003385138,-0.016169875,-0.024244735,0.010760149,-0.045873193,0.073313914,-0.06224517,-0.02504722,0.014243633,0.030487288,0.013244582,0.040426744
Q13_r3,-0.003508282,-0.004697155,0.018859273,0.028265819,-0.02611557,0.008431262,-0.03539373,0.015893644,0.010167664,0.037445862,-0.001577946,-0.02144297
Q13_r20,-0.003551827,0.004517461,-0.009454501,-0.022504906,0.035819832,-0.032409197,0.064294392,-0.02518957,-0.050263452,-0.012322868,-0.00427843,0.032328196
Q8_r4,-0.003900205,-0.008265285,-0.024413015,-0.024405336,0.032605871,0.010700573,0.002619055,0.01640341,-0.033657959,0.014738359,-0.006983133,0.021631241
Q24_r3,-0.004014836,0.001626459,-0.001286097,-0.059890951,0.061649713,-0.025243814,0.063259889,-0.016555962,-0.073057735,-0.001108854,-0.02475632,0.060439889
Q22_r3,-0.004468845,0.01444684,0.008296264,-0.018878837,-0.004316297,-0.004750524,0.004178114,-0.004652019,0.02908393,0.007152915,0.012205775,-0.021640374
Q12_r5,-0.005130691,0.018032516,0.037131309,0.007437067,-0.021834577,-0.004928801,0.005940152,-0.035197394,-0.01249853,0.043953299,0.060537609,-0.002297192
Q22_r18,-0.005219559,0.027040501,0.010660724,0.065822565,-0.066795019,0.023425931,-0.085021212,0.002473466,0.124899094,0.029480785,0.001677378,-0.110953603
Q12_r21,-0.005359034,-0.006177903,-0.004034706,0.016301551,-0.026332431,-0.001124658,0.013431725,0.051651667,-0.02327175,-0.009350765,0.004537556,-0.002672706
Q10_r4,-0.006239033,0.028567217,-0.001257003,0.031381221,-0.003916185,-0.033912978,0.000982731,-0.015212859,0.002516857,0.017647172,0.031190372,-0.012857155
Q26_r4,-0.006577762,0.003216215,-0.012961694,-0.049923962,0.043955812,-0.022121256,0.061787589,-0.016548821,-0.065423278,0.005546216,-0.023868416,0.057219516
Q20_r2,-0.007067071,0.024690592,0.021137064,0.039063331,0.003915077,-0.017458254,-0.006987448,0.044027798,-0.003895506,0.008550803,-0.01123738,-0.060699861
Q20_r4,-0.007257821,0.016451687,-0.026313773,-0.028334437,0.044870499,-0.046763424,0.054521749,-0.012614643,0.01324544,-0.017477804,-0.010356737,-0.026293847
Q8_r3,-0.007454151,-0.009108014,-0.000999223,0.021469422,-0.01681172,-0.013159705,0.013132303,-0.009145797,0.006955043,0.034211992,-0.007695134,-0.031085843
Q22_r4,-0.007483424,0.031266794,0.056082657,0.009195227,-0.056964595,-0.008116239,-0.084809182,0.062722358,0.107897146,-0.01997487,-0.026938416,-0.037450537
Q24_r2,-0.0075982,0.004520749,-0.020823687,-0.013489309,0.008907838,-0.019298052,-0.002264639,-0.007873437,-0.006448128,0.005752818,0.036813147,0.041118402
Q10_r7,-0.007706983,0.040395443,0.004739483,-0.025766669,-0.01362805,-0.009795558,-0.031769445,-0.014917771,0.046379141,0.024038345,0.007238096,0.016432791
Q26_r3,-0.007983819,0.015920838,0.031670826,-0.0190317,0.033062305,-0.017229223,0.030057891,-0.02666544,-0.009995737,0.015828689,0.023033562,-0.02848073
S5_r6,-0.007993756,-0.009241948,-0.014520895,0.00369665,-0.012547274,0.086506459,-0.051900131,0.031197694,0.024998239,-0.021465599,-0.007808291,-0.027163079
Q18_r13,-0.008366665,-0.007352636,-0.027357993,0.035436062,-0.077677426,0.119084482,-0.069762357,-0.040902371,0.089908843,-0.038895574,-0.013472627,-0.024732151
Q25_r3,-0.008492494,0.002395593,-0.004437571,-0.058302663,0.047814068,-0.023794221,0.064187323,-0.016630771,-0.065023209,-0.00168078,-0.024322471,0.06213726
Q26_r1,-0.009089759,-0.000420637,-0.00465573,0.069285185,-0.077649287,0.019808787,-0.117339771,0.056900069,0.101245802,-0.021075008,-0.002698616,-0.023706025
S5_r5,-0.009184891,0.025075088,-0.029846658,0.036712228,-0.049914126,0.058263304,-0.096240953,0.055728215,0.029409131,-0.007664708,0.010377064,0.019378445
Q18_r14,-0.009296313,0.024995574,0.036089086,-0.031191678,-0.066995417,0.030826229,-0.086432991,0.055430104,0.055436756,0.012856402,-0.014865745,0.047277609
Q15_r5,-0.009521466,-0.003818737,-0.011279331,0.003748097,-0.013197282,-0.00687322,0.012361031,-0.017919079,-0.004059765,0.004861405,-0.003226356,0.022113841
Q2_C1_r8,-0.009770439,-0.003918591,-0.01157427,0.002000339,-0.000856506,0.007554357,-0.010330044,-0.018387638,-0.006197311,0.024553427,-0.00331072,0.020053088
Q17_r8,-0.009770439,-0.003918591,0.017679697,-0.009689505,-0.000856506,-0.007864462,-0.030668262,0.00058165,0.022749986,0.024553427,-0.00331072,0.007517841
Q22_r5,-0.010081772,0.023310509,0.037458615,0.041164574,-0.050819558,0.034814774,-0.096578258,0.023885425,0.127250953,0.015426469,-0.001856941,-0.111876229
Q27_r2,-0.010347992,0.014475555,-0.039682408,0.025481332,-0.036950192,0.011860513,-0.049741895,0.019117551,0.047247397,-0.009605107,-0.018527591,0.011700086
Q16_r5,-0.010482848,-0.004204315,-0.012418205,-0.013667893,-0.004666875,0.075716025,-0.024840085,-0.019728369,-0.039057519,0.059098547,-0.003552121,0.026193255
Q2_C3_r6,-0.010521075,0.038152485,0.06784351,0.05010986,-0.009568263,-0.009680355,-0.027290053,-0.050520856,0.064430191,-0.019462677,0.006032147,-0.073400205
Q14_r2,-0.010833402,-0.009971773,-0.005631497,-0.022277407,0.000546468,0.003529112,-0.000409538,0.007272758,-0.039342722,-0.025807847,-0.008424902,0.09186032
Q15_r6,-0.010833402,-0.009971773,-0.005631497,-0.022277407,0.000546468,0.003529112,-0.000409538,0.007272758,-0.039342722,-0.025807847,-0.008424902,0.09186032
Q16_r10,-0.010833402,-0.009971773,-0.005631497,-0.022277407,0.000546468,0.003529112,-0.000409538,0.007272758,-0.039342722,-0.025807847,-0.008424902,0.09186032
Q17_r11,-0.010833402,-0.009971773,-0.005631497,-0.022277407,0.000546468,0.003529112,-0.000409538,0.007272758,-0.039342722,-0.025807847,-0.008424902,0.09186032
Q19_r7,-0.010833402,-0.009971773,-0.005631497,-0.022277407,0.000546468,0.003529112,-0.000409538,0.007272758,-0.039342722,-0.025807847,-0.008424902,0.09186032
Q20_r7,-0.010833402,-0.009971773,-0.005631497,-0.022277407,0.000546468,0.003529112,-0.000409538,0.007272758,-0.039342722,-0.025807847,-0.008424902,0.09186032
Q21_r7,-0.010833402,-0.009971773,-0.005631497,-0.022277407,0.000546468,0.003529112,-0.000409538,0.007272758,-0.039342722,-0.025807847,-0.008424902,0.09186032
Q10_r26,-0.010867856,0.040861551,0.016992612,0.011733919,-0.016080191,0.005243081,-0.02059729,-0.019470569,0.021561072,0.022620724,-0.011111426,-0.01325042
Q10_r15,-0.010990331,0.024420196,0.006020849,0.005585681,-0.005447469,0.00929749,-0.025984225,-0.02390422,0.042087375,0.007456876,-0.008459989,-0.020956174
Q10_r8,-0.010999186,0.013762536,0.044629868,-0.018502028,0.009019655,-0.034292816,0.00139527,-0.007677112,0.057557753,0.022305459,0.020734553,-0.06542649
Q22_r2,-0.011007322,-0.008881238,0.003314113,0.011948264,-0.014491972,0.007030177,-0.01203236,0.011970648,0.01737392,-0.022945397,0.012780088,-0.004382989
Q2_C2_r1,-0.011308098,0.047375136,0.039898488,0.004614858,-0.024194596,-0.013682993,-0.009697932,0.039994771,0.020383352,-0.017905853,-0.006795942,-0.020391715
Q22_r22,-0.011615553,-0.024851437,0.011263345,0.003784416,0.001566583,0.001377894,0.011037636,-0.008410701,0.005758797,-0.009900026,0.00157589,-0.013292887
S3_r5,-0.011986202,-0.004807259,0.009726391,-0.002326317,0.009900851,-0.003342805,0.008119423,-0.007043505,-0.007602752,-0.00365871,-0.004061533,0.004096749
Q20_r5,-0.011986202,-0.004807259,-0.01419911,-0.011886914,0.031804047,-0.003342805,-0.008514288,-0.007043505,0.039746627,-0.020548921,-0.004061533,-0.026659289
Oversample_r2,-0.011986202,-0.004807259,0.703565914,-0.040568702,-0.033905541,-0.028563518,-0.050098567,-0.02255763,-0.054952132,-0.020548921,-0.004061533,-0.036911302
S3_r6,-0.012383421,-0.00496657,-0.014669664,-0.023392952,-0.003207043,-0.005082117,-0.003426153,0.036800785,0.027305482,-0.021229905,-0.004196131,0.001584574
Q12_r18,-0.012740458,-0.007481473,-0.025444845,0.039177686,-0.09221649,0.089175623,-0.077967726,-0.004722142,0.040881938,0.002871102,-0.000576694,0.032907741
Q17_r4,-0.012768793,-0.00512113,-0.015126185,0.010702147,0.046233478,-0.00672193,-0.022099418,-0.02403044,-0.006615589,0.073366423,-0.004326715,-0.029684769
Q22_r14,-0.012917205,0.010114869,-0.019050105,0.019232047,0.052567475,-0.043808126,0.01787308,-0.034183261,-0.026768273,0.008697163,-0.028499575,0.010762216
Q21_r6,-0.012957369,-0.005196761,0.02898877,0.02701443,0.003937948,-0.019193189,-0.00791976,0.018740449,-0.022843272,0.00908679,-0.004390614,-0.001904271
Q15_r3,-0.013133958,0.018861259,0.111429476,-0.104611615,-0.075615401,-0.005402585,-0.076485596,0.120118813,0.141069786,-0.033011046,-0.005315306,-0.006059095
Q13_r7,-0.013400458,0.028670569,-0.025079409,0.054102437,-0.01956518,-0.015476257,-0.068118657,-0.031539121,0.073940567,0.034108996,0.039445741,-0.032604502
S3_r4,-0.013770391,0.011843535,-0.023328874,-0.035805187,-0.045281177,-0.017153188,-0.055475658,0.055574721,0.127858284,0.015725499,-0.011749342,-0.034535956
Q13_r18,-0.014602158,-0.025444883,-0.042527929,0.006646431,0.017805629,0.01576945,0.045788085,-0.048432979,-0.047819731,-0.015190716,-0.028497498,0.041141136
Q12_r8,-0.014745954,0.004263652,-0.063854115,0.022650991,0.02752655,0.004454421,0.078255243,-0.021002152,-0.109660401,0.002034786,0.001216744,0.036906505
Q23_r4,-0.015669725,-0.025291467,-0.005730636,0.007053876,-0.049464674,0.046636916,-0.10972893,0.03785617,0.076783228,0.025790337,0.018089733,0.00529846
Q19_r6,-0.016467913,-0.011536311,-0.034074585,-0.018097109,-0.004910759,0.06350627,0.039443271,-0.027056507,-0.056120707,0.02438298,-0.009746742,0.023250776
Q12_r10,-0.017150366,-0.010403167,-0.043615131,-0.017321575,-0.012830136,-0.009617371,0.079739055,-0.005712955,-0.063658994,-0.033455689,-0.027415179,0.076779649
Q8_r1,-0.017175147,-0.001056479,-0.01409381,-0.011108136,0.003850182,0.02444845,-0.00600352,-0.008070451,-0.001444623,-0.029208299,-0.015017286,0.035088033
Q9_r2,-0.018353906,0.016689786,-0.021300409,-0.063136562,0.183895978,-0.187774011,0.301117248,-0.072661936,-0.142828107,-0.045585549,0.004780669,-0.048991731
Q20_r3,-0.018440368,-0.012174797,0.004504295,-0.044595136,0.064446386,-0.071519271,0.11359807,-0.028872015,-0.021615991,-0.000403181,0.013753366,-0.042130807
Q23_r5,-0.018700175,-0.007500006,0.008953353,-0.032218167,0.018294407,-0.011773231,0.06240677,-0.015022906,-0.054953225,-0.010099961,-0.006336568,0.042379346
Q15_r4,-0.018733648,0.01389856,-0.015826524,0.036320215,0.031310686,-0.069654275,0.183768714,-0.051767204,-0.087652217,-0.011485504,0.002590904,-0.071886432
S3_r3,-0.019037514,-0.017900313,-0.052871818,-0.017924025,0.072673101,-0.022372915,0.04508837,-0.04642266,-0.032609863,0.030861293,0.009738077,-0.000884114
S5_r1,-0.01976136,0.003028309,0.029813241,-0.062158452,0.072304397,-0.074480912,0.131237777,-0.04543058,-0.074495777,-0.002878757,-0.005400494,0.020933765
Q23_r2,-0.019822923,-0.002417119,-0.002747148,-0.0256636,0.085152385,-0.072237235,0.088812014,-0.027955957,-0.065055932,0.007238568,-0.009580357,0.005593975
Q27_r4,-0.019859014,0.00602535,0.005791138,-0.048939987,0.04139762,-0.024524696,0.060845244,-0.015322551,-0.068139409,0.001459253,-0.022382636,0.06306935
Q6_r1,-0.020219575,-0.025752282,-0.019629215,0.019131908,0.0128717,0.034204746,-0.030080104,0.007239759,0.021247391,-0.000519241,0.001032223,-0.035925134
Q19_r4,-0.020326152,-0.007758701,0.002900424,0.057323535,-0.112665794,0.182152681,-0.14975725,0.024075662,0.046733701,0.038561607,-0.020848246,-0.009613149
Q16_r1,-0.02139681,0.04147679,-0.019669933,0.100254953,-0.048831493,0.026579272,-0.080171817,-0.024551831,0.043209855,0.010640682,-0.010997809,-0.019483476
S3_r2,-0.022294596,0.021657126,-0.013757608,-0.00836759,-0.005073059,-0.005248688,0.024444171,0.006639233,0.033265031,0.003234148,-0.01590676,-0.048914926
Q22_r7,-0.023326791,0.012690932,-0.000261349,-0.008905444,0.081655403,-0.067836688,0.062119162,-0.002751544,-0.00048326,-0.016487558,-0.01519057,-0.067238655
Q16_r8,-0.023405815,0.001372969,0.03518435,0.040105513,0.030535623,-0.023856031,0.078969857,-0.014234934,-0.044157909,-0.013426762,-0.006658328,-0.080551628
Q10_r2,-0.024336922,0.007628173,0.004126751,-0.006623594,-0.016833954,0.008388597,-0.023850159,0.026155451,0.041902922,-0.008369626,-0.012993048,-0.013618582
Q12_r23,-0.024550336,-0.009846307,-0.004982226,0.022842849,-0.014287092,0.011360357,-0.010457663,-0.014947545,0.062331313,0.000445961,-0.0083189,-0.065275283
Q13_r13,-0.025565081,-0.002552134,-0.034707918,0.014833316,0.027393433,0.047129104,0.02133442,-0.039723685,-0.069500991,-0.003237061,0.028153269,0.033375908
QDevice_r3,-0.025782613,0.023095323,-0.019020766,-0.027410689,0.000904212,0.029651214,0.016397031,-0.041050834,-0.00039219,-0.003531915,0.030812311,0.024281751
Q17_r1,-0.025947211,0.004079022,-0.051392807,-0.010786047,-0.058348588,-0.021461622,0.016780786,0.023939796,0.052556436,-0.022125062,-0.014700471,0.024976726
Q13_r17,-0.026220923,-0.017483559,0.007352258,-0.017890028,-0.032174996,0.016603885,-0.061725994,0.004029638,0.036075193,0.018969411,-0.014771423,0.061664523
Q18_r17,-0.02732263,-0.014912512,0.048029232,0.004602077,-0.032379007,-0.022428698,-0.053569461,-0.004842566,0.033843054,0.048530174,0.016132672,0.028968419
Q17_r7,-0.027449859,-0.011009207,0.000139977,0.028892337,-0.052733414,-0.065413927,-0.114731804,-0.016365775,0.233211989,-0.00095016,-0.009301405,-0.065873071
Q2_C2_r8,-0.027568953,-0.017900313,-0.0383858,-0.043972691,0.006365168,0.000532419,-0.012820488,-0.004153093,-0.037387917,0.020634886,-0.015123529,0.126363894
Q10_r23,-0.028004522,-0.024922539,-0.021447594,0.018975904,-0.000671811,-0.013664312,-0.01996304,0.014598829,0.015262308,0.012129744,0.018734321,-0.000120375
Q12_r9,-0.02861219,0.004947801,-0.002768106,-0.008129847,0.049001567,0.010658814,-0.006113802,0.005285484,-0.02032062,-0.002834669,0.034012675,-0.007037838
Q13_r15,-0.028918534,-0.029280695,-0.003458626,0.016959444,0.009985589,0.032630606,0.027706243,-0.04781458,-0.060629188,0.017527087,-0.020066552,0.030338168
Q2_C1_r1,-0.029384268,-0.017223762,-0.014896228,-0.051617633,0.029369225,0.012952489,0.02010299,0.01716048,-0.028853511,-0.034002887,0.010146447,0.057678922
Q12_r4,-0.030813389,-0.002891639,-0.012184412,0.041113255,-0.019560832,-0.016221224,-0.061164551,0.002968933,0.056175073,0.039081126,0.025695574,-0.02220271
Region_r1,-0.031787257,0.010472518,0.000422492,0.091764703,0.053690062,0.042124021,-0.045528013,-0.027795395,-0.048849546,0.002286649,0.00012085,-0.036524184
S1_r2,-0.034176691,0.014785524,0.018312702,-0.040371719,0.007968973,-0.00029097,-0.019357927,0.00093852,0.011899441,0.014817284,-0.001623446,0.037462936
Q12_r17,-0.034569663,-0.022586121,-0.029789188,0.028251262,0.029428697,0.047434263,0.040572166,-0.046127933,-0.110010048,0.038127577,-0.019082451,0.034893522
Q10_r10,-0.035096853,0.001771944,0.009808396,0.01373485,-0.005650347,-0.05537613,0.011045229,-0.012449784,0.03936788,-0.019337929,0.011965356,-0.002403041
Q18_r11,-0.037666891,-0.009853878,-0.029800191,-0.014284738,0.025299727,0.004454421,0.049506678,-0.039929363,-0.056708072,-0.004833891,0.001216744,0.057752241
Q13_r21,-0.042981831,-0.034816196,-0.09607077,0.010311511,0.093217685,-0.006476575,0.111262258,-0.055895969,-0.219249999,-0.013666744,0.007738944,0.16083401
Q19_r2,-0.044835339,-0.009579123,-0.059825368,-0.167423458,0.306222398,-0.139587264,0.38413674,-0.10733643,-0.233770895,-0.015262155,-0.002542781,-0.039599497
Q17_r9,-0.04815286,0.010296682,0.00159619,0.024712127,0.033050617,-0.026912834,0.068740097,-0.046514663,-0.024872059,0.009430162,0.023536511,-0.050593315
Q18_r7,-0.055727697,-0.052746431,-0.113616201,-0.035752224,0.054704933,-0.009321808,0.123532445,-0.039826197,-0.120252262,0.019813349,-0.022478679,0.092494323
Q18_r3,-0.058037317,-0.032880081,-0.066624865,-0.029720605,0.063531333,-0.007863567,0.008895914,0.020368833,0.004657395,-0.018566547,0.007108807,0.013212386
MRK_Age2_r3,-0.060703469,-0.029375164,-0.049505465,-0.056471006,0.085189172,0.030258832,0.07502485,-0.003232979,-0.100531525,-0.020352801,-0.024818345,0.059549541
Q18_r10,-0.066889798,-0.007967194,-0.088492028,0.014423093,0.008541712,0.012220865,0.051985136,-0.052742312,-0.045319783,0.013712653,-0.025312384,0.054515008
Q17_r5,-0.06850247,-0.017462739,-0.054502388,-0.00486855,0.057796937,0.010247507,0.070510431,-0.00233596,-0.067291416,-0.015319665,0.00782102,0.004005815
Q21_r1,-0.076966258,-0.039970446,-0.103609757,-0.019727354,0.145819838,-0.062321,0.159432504,-0.071994285,-0.147099649,-0.007638225,-0.033770034,0.064609395
Q18_r1,-0.099658638,0.011768485,-0.11884266,-0.019040338,0.059671465,0.017646794,0.063982274,-0.004181044,-0.070402577,-0.034304204,0.000485647,0.071766828
Q4_r1,,,,,,,,,,,,
Q4_r2,,,,,,,,,,,,
