,Q11_r1,Q11_r2,Q11_r3,Q11_r4,Q11_r5,Q11_r6,Q11_r7,Q11_r8,Q11_r9,Q11_r10,Q11_r11,Q11_r12
Q21_r3,0.036459677,0.022219081,0.085728049,0.0059866,-0.066861422,0.04885694,-0.103473904,-0.000658766,0.074984627,0.049570177,-0.015724188,-0.034380703
Q12_r22,0.035771468,0.020671591,0.007503238,-0.001472994,0.016739091,-0.025779407,0.033372528,-0.028117254,-0.037756611,-0.003930339,-0.004161453,0.01698529
Q13_r8,0.035460385,0.085949697,0.018093834,-0.007175625,-0.049809416,0.010362555,-0.038436288,0.022301494,0.009792642,0.024050331,0.017533916,0.015686993
Q22_r9,0.034635097,0.027157398,0.044597522,0.013233176,-0.030746116,-0.013726778,-0.038646434,0.015510987,0.102592514,0.023247799,0.001785184,-0.120192255
S1_r1,0.034176691,-0.014785524,-0.018312702,0.040371719,-0.007968973,0.00029097,0.019357927,-0.00093852,-0.011899441,-0.014817284,0.001623446,-0.037462936
Q12_r6,0.033640889,-0.002718845,0.001460963,-0.038407494,-0.041233414,-0.014615401,0.001867982,0.010440398,0.1406269,0.009510703,-0.009815493,-0.117235184
Q22_r1,0.033573781,0.021776763,0.046051197,0.029646512,-0.092654241,0.020611566,-0.117188409,0.071470607,0.144475983,0.023341337,0.025366772,-0.104771894
Q23_r3,0.033544115,0.026322039,0.006921914,0.030825303,-0.042532646,0.031847384,-0.022307781,0.002959659,0.01966052,-0.024981864,-0.00347436,-0.02258729
Q2_C2_r7,0.033160314,0.029452662,0.023067466,0.009143689,-0.015814707,0.030039929,-0.002356199,0.026861869,-0.001916567,-0.029429785,0.009574971,-0.04140752
Q10_r20,0.03163448,0.013307492,-0.002689637,0.034164054,0.002548254,-0.030911473,0.007754461,-0.038822879,0.01403351,0.033722052,0.020252555,-0.05134216
Q2_C2_r3,0.030875111,0.057196987,0.038505657,0.042020088,-0.022670102,-0.041392164,-0.05313241,0.015422914,0.079663063,0.02349684,0.01576277,-0.090780472
Q2_C3_r1,0.030781766,1.30E-05,0.030011403,0.007450179,0.00717255,0.001096172,0.009545778,-0.017493989,-0.010057178,0.011658985,0.006648538,-0.034702064
Q9_r1,0.030418066,-0.01669088,0.042433896,-0.021721393,-0.082729055,-0.050823268,-0.136740484,0.110042831,0.13447091,-0.022776759,0.012137851,0.048727254
Q22_r16,0.030339785,0.011798711,0.032502852,0.058620649,-0.080421622,0.020216206,-0.097843497,0.051813679,0.137710155,-0.013072871,0.023393957,-0.118233848
Q10_r3,0.029515958,-0.008265285,0.0323262,0.003935802,-0.012844542,0.003224222,-0.01710433,-0.020388266,0.02248646,0.024752123,0.041706161,-0.033072111
Q10_r25,0.028698485,-0.024777761,-0.012979972,-0.002533078,-0.0189099,0.022016484,0.038144884,-0.003187707,-0.039688562,-0.015535858,-0.016183409,0.019395759
S5_r3,0.028621833,-0.003092833,-0.012764212,0.003627121,-0.029704011,-0.007378732,-0.001325431,0.001959213,0.005342783,0.020083835,-0.018183593,0.008907563
Q12_r15,0.028196111,-0.007620352,0.07933317,-0.069645665,-0.044957883,-0.022839362,-0.014415538,0.040022817,0.069833779,-0.018430407,0.039406974,-0.000922127
Q2_C2_r4,0.027812985,0.035925497,0.05524304,0.022659667,-0.004542283,-0.034444191,-0.03312874,-0.009037068,0.077673953,0.028704976,0.014234792,-0.104436295
Q10_r6,0.027033236,0.036937336,0.055118041,0.014730865,0.005372711,-0.009472899,-0.03051494,-0.014722293,0.021811699,0.001908405,0.018279757,-0.036462969
Q13_r11,0.027002738,0.021657126,0.007168583,-0.036241179,-0.021037562,0.013133842,-0.009502336,0.002116144,0.037866547,0.003234148,0.031979297,-0.013047659
Q2_C2_r6,0.026969302,0.02665082,0.046657115,0.061561068,-0.000812115,0.032383534,-0.053819142,-0.033698898,0.080410723,-0.016735918,0.007509936,-0.13194987
Q16_r4,0.026832393,0.031046769,-0.011743681,0.025683266,-0.041905157,-0.00790156,-0.046896848,0.021653268,0.018843126,-0.027122851,-0.007267268,0.045188848
Q10_r24,0.025864027,-0.012538167,0.021164882,0.025974285,-0.004072515,-0.008036958,-0.053114756,-0.033675544,0.055035794,0.042270615,0.02270125,-0.046395178
Q12_r1,0.025864027,0.043758295,0.19576077,-0.020537896,-0.017392361,-0.028486699,-0.012653358,-0.014806539,0.02944089,-0.005662271,-0.010593185,-0.046395178
Q12_r2,0.025125539,-0.01762305,0.116524485,-0.052070162,-0.040421066,-0.027449394,-0.025692455,0.036122172,0.095906856,-0.028762762,-0.014889276,-0.037953919
Q12_r27,0.024982078,0.006826947,0.007775078,0.003153654,-0.041041497,-0.008115148,-0.038480715,0.026922409,0.040145819,0.020435799,-0.013562573,-0.005013551
Q10_r13,0.024942533,-0.001502777,0.005156365,0.006783847,0.030956306,-0.034604439,0.016666563,-0.027152804,-0.012309374,0.018586703,0.02659851,-0.020394156
Q10_r16,0.024800351,0.03584259,0.003666768,-0.006416188,-0.027464203,-5.09E-05,-0.006279192,-0.034238297,0.058524313,0.012193458,0.027093385,-0.039701747
Q2_C2_r2,0.02342882,0.024025108,0.061183804,0.054913216,-0.052863143,-0.029050164,-0.072833054,0.027662566,0.122770285,-0.000852383,0.017501101,-0.113728297
Q13_r16,0.023258798,0.014420379,0.037203748,-0.022598074,-0.000671844,-0.012318658,0.002746712,-0.005722541,0.044848926,0.031203307,-0.010940679,-0.067098006
Q12_r30,0.022419224,-0.009197489,0.075507499,0.019824289,0.035000358,-0.034355614,-0.033391889,-0.034836221,0.009160144,0.033167462,0.036282771,-0.037623923
Q13_r12,0.022221822,0.041013936,0.073175516,-0.013802027,0.005671208,-0.028785324,-0.010265188,0.017066761,0.028475289,0.003184681,0.052945555,-0.056761699
Q8_r2,0.021917986,0.007454365,0.02343205,0.011763939,-0.008922419,-0.023911777,0.000256988,0.006092266,0.010576372,0.01189659,0.02086105,-0.031844791
